Job Title,Job Type,Location,Experience Level,Salary Min (?),Salary Max (?),Min Education,Category,Openings,Notice Period,Year of Passing,Direct Link,Work Type,Interview Type,Company Name,Company Website,Company Description,Job Description,Requirements,Responsibilities,Skills
BIM Architect,Full-time,"Nagpur, Maharashtra",1-3 Years,20000,35000,Bachelor Degree (B.Arch),Architect,2,Immediate,,contact@techture.global,On-Site,On-site,Techture Careers,https://www.techture.global/join-us,BIM and architectural technology solutions provider,"Prepare 3D models in Revit for buildings, create detailed and construction drawings, manage building information models","Bachelor in Architecture, Revit expertise, BIM knowledge","Create 3D models in Revit, manage clash detection","Revit, AutoCAD, Naviswork, Clash detection, 3D modeling"
Civil Draughtsman,Full-time,"Rajnagar, Nagpur",Fresher-2 Years,22000,40000,Bachelor Degree,Architect,5,Immediate,,sales@paradisegroup.co.in,On-Site,On-site,Paradise Estate,https://www.paradisegroup.co.in/,Real estate and construction development company,Create detailed architectural and structural drawings for residential and commercial projects,"Graduate in Civil or Architecture, CAD skills",Prepare site surveys and technical documentation,"3D Modelling, AutoCAD, Revit, SketchUp, PhotoShop"
Interior Architect,Full-time,"Manish Nagar, Nagpur",Fresher-1 Year,10000,20000,Bachelor Degree,Architect,2,Immediate,,artinteriorz17@gmail.com,On-Site,On-site,Art Interiorz,https://artinteriorz.com/,Interior design and architecture firm,"Design interior spaces, create 3D visualizations, manage client relationships","Bachelor degree, Design sense, Software knowledge",Design and conceptualize interior spaces,"Interior Design, SketchUp, PhotoShop, 3D Modelling, AutoCAD"
Project Architect,Full-time,"Nagpur, Maharashtra",2-5 Years,30000,50000,Bachelor Degree (B.Arch),Architect,2,Upto 2 weeks,,info@conceptsarchitects.com,On-Site,On-site,Concepts Architects & Interior Designers,https://conceptsarchitects.com/,Award-winning architecture and design firm,"Manage architectural projects from conception to completion, coordinate teams, ensure compliance with building codes","Bachelor in Architecture, Project management experience",Oversee project timelines and quality standards,"Project management, AutoCAD, Revit, Leadership, Communication"
Senior Architect,Full-time,"Nagpur, Maharashtra",5-10 Years,45000,70000,Bachelor/Master Degree,Architect,1,Upto 4 weeks,,info@conceptsarchitects.com,On-Site,On-site,Concepts Architects & Interior Designers,https://conceptsarchitects.com/,Award-winning architecture and design firm,"Lead architectural design team, develop design concepts, manage client presentations and stakeholder management","Master in Architecture, 5+ years experience, Leadership",Lead design team and mentor junior architects,"Design leadership, Revit, AutoCAD, Team management, Presentation"
Construction Architect,Full-time,"Kharbi Road, Nagpur",1-3 Years,10000,30000,Bachelor Degree,Architect,5,Immediate,,amol@techyuga.in,On-Site,On-site,Techyuga Structural Solutions,https://techyuga.in/,Structural and construction engineering solutions,"Oversee construction site activities, manage construction drawings, ensure code compliance","Bachelor degree, Site experience, Problem-solving",Monitor construction progress and quality control,"3D Modelling, AutoCAD, Revit, Site management, Safety"
Sustainable Architect,Full-time,"Nagpur, Maharashtra",2-6 Years,25000,45000,Bachelor Degree,Architect,2,Upto 2 weeks,,contact@ecobuildepcsolutions.com,On-Site,On-site,EcoBuilds Solutions,https://ecobuildepcsolutions.com/,Green building and sustainable design company,"Design eco-friendly buildings, implement green building standards","Bachelor degree, Sustainability knowledge, LEED certification",Design sustainable buildings with green technologies,"Green building design, LEED, AutoCAD, Sustainability, Energy efficiency"
Cloud Architect (AWS/Azure),Full-time,"Nagpur, Maharashtra",4-10 Years,55000,85000,Bachelor Degree (IT/CS),Architect,2,Upto 3 weeks,,https://cloudtech.co.in/,Hybrid,Online,CloudTech Architects,https://cloudtech.co.in/,Cloud infrastructure and architecture services,"Design cloud-based solutions, manage AWS/Azure implementations","Bachelor in IT, Cloud certifications required",Design and implement robust cloud infrastructure,"AWS, Azure, GCP, Infrastructure as Code, Security, DevOps"
Data Architect,Full-time,"Nagpur, Maharashtra",4-9 Years,50000,80000,Bachelor/Master Degree,Architect,1,Upto 3 weeks,,info@dfssolutions.com,Hybrid,Online,DataFlow Systems Nagpur,https://dfssolutions.com/,Big data and analytics solutions provider,"Design data architectures, manage data pipelines, ensure data security","Master in Data Science/IT, Database expertise",Architect enterprise data solutions and warehouses,"SQL, NoSQL, ETL, Data modeling, Hadoop, Spark, Python"
Interior Designer Architect,Full-time,"Ganeshpeth Colony, Nagpur",Fresher-2 Years,15000,25000,Diploma/Bachelor Degree,Architect,2,Immediate,,sathcarecompany@gmail.com,On-Site,On-site,Sath Outsourcing Services,https://www.zaubacorp.com/SATH-OUTSOURCING-SERVICES-PRIVATE-LIMITED-U51909MH2014PTC255306,Design and outsourcing services,"Design interior spaces, create design documentation",Diploma or degree in Interior Design,Create innovative interior design solutions,"Interior design, AutoCAD, SketchUp, 3D modeling, Color theory"
Infrastructure Architect,Full-time,"Nagpur, Maharashtra",5-10 Years,52000,82000,Bachelor/Master Degree (IT),Architect,1,Upto 3 weeks,,info@techinfra.,Hybrid,Online,TechInfra Consulting,https://techinfra.in/,IT infrastructure and architecture consulting,"Design IT infrastructure, manage system implementations","Master in IT/Computer Science, Infrastructure experience",Design scalable infrastructure solutions for enterprises,"Networking, Virtualization, Security, ITIL, Compliance, Cloud, Leadership"
Network Architect,Full-time,"Nagpur, Maharashtra",4-8 Years,48000,75000,Bachelor Degree (IT/CS),Architect,2,Upto 2 weeks,,accounts@netconnectglobal.com,Hybrid,Online,NetConnect Solutions,https://netconnectglobal.com/,Networking and connectivity solutions provider,"Design secure networks, manage network infrastructure","Bachelor in IT, Network certifications (CCNA/CCNP)",Design and implement secure enterprise networks,"Networking, Cisco, Security, Routing, Switching, Cloud networking, MPLS"
Enterprise Architect,Full-time,"Nagpur, Maharashtra",6-12 Years,65000,95000,Master Degree,Architect,1,Upto 4 weeks,,info@enterpriseprosolutions.com,Hybrid,Online,EnterprisePro Solutions,https://enterpriseprosolutions.com/terms/,Enterprise architecture and digital transformation,"Design enterprise architectures, lead digital transformations","Master degree, 6+ years enterprise experience, TOGAF certification",Lead enterprise digital transformation initiatives,"Enterprise architecture, TOGAF, Business analysis, Leadership, Governance"
DevOps Architect,Full-time,"Nagpur, Maharashtra",4-8 Years,55000,85000,Bachelor Degree (IT),Architect,1,Upto 3 weeks,,support@autodeploy.net,Hybrid,Online,AutoDeploy Systems,https://autodeploy.net/,DevOps and continuous deployment solutions,"Design DevOps pipelines, manage CI/CD implementations","Bachelor in IT, DevOps experience with cloud platforms",Architect DevOps and continuous deployment solutions,"Docker, Kubernetes, CI/CD, Jenkins, AWS/Azure, Terraform, Python"
Product Architect,Full-time,"Nagpur, Maharashtra",3-7 Years,38000,62000,Bachelor/Master Degree,Architect,1,Upto 2 weeks,,sales@asdsoftware.com,Hybrid,On-site,ProductVision Inc,https://www.asdsoftware.com/,Product development and architecture company,"Design product architectures, manage cross-functional teams","Bachelor/Master degree, Product development experience",Design comprehensive product architectures,"Product strategy, System design, Leadership, Analytics, Agile, Communication"
CAD Drafter Architect,Full-time,"Kharbi Road, Nagpur",Fresher-2 Years,14000,28000,Diploma/Bachelor Degree,Architect,3,Immediate,,hrd@cadtechgroup.com,On-Site,On-site,CADTech Solutions Nagpur,https://3dscanindia.com/,CAD design and drafting services,Create CAD drawings for architectural projects,"Diploma in CAD/Civil or Bachelor degree, CAD proficiency",Produce accurate CAD drawings and technical plans,"AutoCAD, DraftSight, Technical drawing, Design fundamentals, Precision"
Building Information Modeling Manager,Full-time,"Nagpur, Maharashtra",3-7 Years,34000,58000,Bachelor Degree (B.Arch/Civil),Architect,1,Upto 3 weeks,,ntact@oneclickbim.global,On-Site,On-site,BIMManagement Solutions,https://oneclickbim.global/,Building Information Modeling services,"Manage BIM processes, coordinate BIM models","Bachelor degree, Expert BIM knowledge, Revit mastery",Lead BIM implementation and coordination on projects,"Revit, BIM, Naviswork, Revit API, Clash detection, Coordination, Leadership"
